Product,Brand,Product Code,Price,Inward Date,Dispatch Date,Quantity Sold,Sales,lap customer id,lap customer Name,Customer Location,Region,Processor Specification,RAM,ROM,SSD,stock in inventory,Product segmentation
Laptop,HP,CEA9210C,43945,10-12-2023,14-12-2023,5,219725,0,Aaron Abbott,Lake Heidiberg,South,i7,12,1028,512,21,High storage lap
Laptop,Dell,7CDEA698,66145,17-04-2024,22-07-2024,8,529160,1,Aaron Adams,New Patricia,West,i9,16,1028,1028,25,High storage lap
Laptop,Macbook,6505D693,61685,22-06-2024,01-01-2024,10,616850,1,Aaron Adams,North Toni,West,i7,12,256,512,48,Low demand lap
Laptop,Dell,256E7489,57974,01-11-2023,19-12-2023,8,463792,2,Aaron Anderson,Joshuaport,Central,i9,4,128,2028,18,High ssd lap
Laptop,Samsung,713BFC6A,71603,07-04-2024,18-12-2023,3,214809,2,Aaron Anderson,New Kimberly,West,i3,6,64,256,53,Low demand lap
Laptop,Asus,C41152AA,88439,12-06-2023,05-08-2024,1,88439,3,Aaron Arellano,Davisstad,Central,Ryzen 3,12,1028,2028,7,High storage lap
Laptop,Samsung,3EFD7C7E,18751,10-01-2025,07-06-2024,10,187510,4,Aaron Barry,Wallerview,East,Ryzen 5,16,1028,1028,27,High storage lap
Laptop,Lenovo,F83380F2,64333,16-04-2023,04-12-2024,3,192999,5,Aaron Brock,Belindahaven,South,Ryzen 7,16,128,512,12,Low demand lap
Laptop,Asus,467679AC,138646,18-02-2024,11-07-2023,9,1247814,6,Aaron Brown,Michaelmouth,East,i5,8,128,2028,11,Best selling lap
Laptop,Acer,6292944E,107582,25-05-2024,13-08-2024,10,1075820,7,Aaron Carrillo,North Jameschester,West,i9,12,512,256,7,Best selling lap
Laptop,Acer,92C56848,66889,04-06-2024,27-08-2023,4,267556,8,Aaron Chavez,North Lauraport,West,Ryzen 3,4,512,512,55,Low demand lap
Laptop,Acer,170195A9,115257,28-09-2023,24-11-2024,9,1037313,9,Aaron Chen,Hunterville,North,Ryzen 7,12,128,2028,22,Best selling lap
Laptop,HP,05C98B18,133063,31-05-2024,06-02-2024,6,798378,10,Aaron Cole,North Juliestad,West,Ryzen 9,16,256,512,35,Best selling lap
Laptop,Macbook,2894C993,98257,04-01-2024,31-10-2023,7,687799,11,Aaron Collins,Lake Ryan,Central,i7,4,256,2028,3,High ssd lap
Laptop,Macbook,3D0EA98B,184023,09-09-2024,03-05-2024,8,1472184,12,Aaron David,Reedport,North,Ryzen 5,4,256,2028,35,Best selling lap
Laptop,Dell,E26D2183,175673,15-06-2023,20-03-2024,2,351346,13,Aaron Duffy,Debraburgh,North,i5,12,512,1028,42,Low demand lap
Laptop,Asus,E4B281F0,55949,02-04-2023,10-02-2024,2,111898,14,Aaron Edwards,Andradeberg,West,Ryzen 9,12,256,256,59,Low demand lap
Laptop,HP,865F98EB,141280,07-06-2023,15-02-2025,5,706400,15,Aaron Erickson,Darrentown,East,Ryzen 3,16,256,1028,60,Low demand lap
Laptop,Asus,7452F328,145280,26-06-2023,10-04-2025,1,145280,16,Aaron Evans,East Anafort,East,Ryzen 3,6,64,2028,36,High ssd lap
Laptop,Xiaomi,85BA996E,121724,22-06-2023,08-07-2023,7,852068,17,Aaron Flores,Dorothytown,West,i3,16,512,2028,9,High ssd lap
Laptop,Acer,F430A3AD,152405,10-07-2023,12-12-2024,7,1066835,18,Aaron Freeman,East Erikastad,South,Ryzen 5,12,512,512,32,Best selling lap
Laptop,Asus,B82DC272,154569,28-11-2024,07-01-2025,5,772845,19,Aaron Gallagher,South Nicole,West,i9,8,512,1028,1,Best selling lap
Laptop,Xiaomi,1E3179F0,139975,15-09-2023,06-04-2025,1,139975,20,Aaron Garcia,Harmonberg,North,i7,4,512,1028,17,Low demand lap
Laptop,Google,43FB65E1,82741,14-07-2024,15-12-2024,5,413705,21,Aaron Good,Port Bradleyfurt,North,i5,6,64,256,4,Low demand lap
Laptop,HP,4277A260,39080,26-07-2024,23-07-2024,1,39080,22,Aaron Graham,Port Emilyview,South,Ryzen 5,32,512,512,17,Low demand lap
Laptop,Samsung,7FBCAEB1,83705,07-04-2024,26-05-2024,9,753345,23,Aaron Grant,New Kevinchester,West,Ryzen 7,12,128,2028,39,High ssd lap
Laptop,Asus,89D0CCD3,168955,13-07-2023,24-06-2023,4,675820,24,Aaron Henson,East Jasmine,North,i3,6,256,512,45,Low demand lap
Laptop,Lenovo,97959DF5,130254,03-11-2023,01-02-2025,6,781524,25,Aaron Hill,Julieberg,Central,i9,6,128,1028,29,Best selling lap
Laptop,Asus,2E75EDEA,50591,26-05-2024,26-07-2023,2,101182,26,Aaron Jackson,North Jasonfort,West,Ryzen 5,8,128,2028,23,High ssd lap
Laptop,Asus,732D6C07,127588,12-07-2024,20-03-2025,3,382764,27,Aaron Johnson,Port Angela,South,i5,6,512,1028,53,Low demand lap
Laptop,Asus,9573294E,26158,17-01-2025,12-02-2024,5,130790,28,Aaron Kelly,West Amber,North,Ryzen 5,16,512,1028,22,Low demand lap
Laptop,Acer,D83DADE6,134425,12-10-2024,26-05-2023,10,1344250,29,Aaron Kerr,Sherriborough,East,Ryzen 9,16,1028,1028,54,Best selling lap
Laptop,Asus,8E8E5156,93963,14-10-2023,14-11-2024,2,187926,30,Aaron Lewis,Jensentown,West,Ryzen 9,32,64,256,24,Low demand lap
Laptop,Xiaomi,414C88A9,155504,25-11-2023,25-12-2023,8,1244032,30,Aaron Lewis,Lake Brandi,Central,i9,6,128,512,23,Best selling lap
Laptop,Asus,F0DF5C96,39036,17-06-2024,04-08-2023,6,234216,31,Aaron Lowery,North Scott,West,i9,12,512,256,28,Low demand lap
Laptop,Dell,CA96C554,84278,21-02-2025,19-08-2023,6,505668,32,Aaron Lynch,West Michael,South,Ryzen 3,12,256,256,47,Low demand lap
Laptop,Dell,D723E0C7,155910,09-03-2025,28-05-2024,10,1559100,33,Aaron Manning,Whiteside,West,i9,6,512,2028,45,Best selling lap
Laptop,Acer,B2F7707B,81365,13-10-2024,26-08-2023,1,81365,34,Aaron Martin,Simonfurt,South,Ryzen 7,8,1028,1028,28,High storage lap
Laptop,Xiaomi,DAD113B6,103688,14-08-2023,28-03-2024,7,725816,35,Aaron Martinez,Elijahmouth,South,Ryzen 9,6,1028,256,39,High storage lap
Laptop,Asus,895F1335,88165,23-11-2023,14-05-2023,8,705320,36,Aaron Mayo,Lake Andrew,North,Ryzen 7,16,128,256,46,Low demand lap
Laptop,Acer,B192E52F,48413,30-09-2023,22-08-2023,5,242065,37,Aaron Mckay,Jacksonmouth,East,Ryzen 3,8,128,256,32,Low demand lap
Laptop,Macbook,E55DCE67,68737,06-02-2024,06-04-2025,1,68737,38,Aaron Mcmahon,Masonburgh,West,i9,16,64,256,22,Low demand lap
Laptop,Samsung,1118BEBE,37277,22-07-2024,11-06-2023,2,74554,39,Aaron Meadows,Port David,West,i7,6,64,1028,54,Low demand lap
Laptop,Asus,5D2F3BFF,144795,31-05-2023,06-10-2023,3,434385,40,Aaron Meyer,Crystalbury,East,i3,16,256,2028,57,High ssd lap
Laptop,Asus,6C0BDE86,59703,09-02-2024,08-07-2023,7,417921,41,Aaron Miller,Matthewside,North,Ryzen 5,6,1028,1028,28,High storage lap
Laptop,Lenovo,ABAA35FB,154795,13-06-2023,11-12-2023,2,309590,42,Aaron Miranda II,Deanberg,Central,Ryzen 3,8,128,256,20,Low demand lap
Laptop,Samsung,6F4D9956,47329,09-05-2023,10-02-2025,7,331303,43,Aaron Moore,Carlsontown,Central,i9,6,1028,2028,11,High storage lap
Laptop,HP,BE630739,157399,22-03-2023,06-03-2025,5,786995,44,Aaron Morse,Adamsbury,South,Ryzen 9,12,256,2028,43,High ssd lap
Laptop,Dell,209ABFEC,177910,31-05-2024,12-02-2024,8,1423280,45,Aaron Nguyen,North Joshua,East,i7,8,1028,512,3,Best selling lap
Laptop,Dell,79A3B3BD,6066,03-03-2024,04-11-2023,2,12132,46,Aaron Olson,Murphyhaven,East,Ryzen 5,8,64,512,12,Low demand lap
Laptop,Acer,D6F7BCDC,19111,23-01-2025,03-03-2025,2,38222,47,Aaron Porter,West Brianview,Central,i9,16,128,256,33,Low demand lap
Laptop,Dell,B33C673C,187057,23-05-2024,09-05-2025,1,187057,48,Aaron Potter,North George,South,i9,4,1028,2028,56,High storage lap
Laptop,Xiaomi,2A95F0A4,174955,30-10-2024,21-03-2024,7,1224685,49,Aaron Reilly,South Conniemouth,West,Ryzen 9,12,256,1028,32,Best selling lap
Laptop,Xiaomi,4168E42D,44334,11-10-2024,10-05-2023,6,266004,50,Aaron Reynolds,Shelleyton,West,i7,12,64,2028,26,High ssd lap
Laptop,Macbook,5C5CD849,66199,17-01-2024,19-01-2025,6,397194,51,Aaron Rodriguez,Leblancstad,East,i7,4,128,1028,44,Low demand lap
Laptop,Samsung,4AAF17B7,17035,10-11-2024,07-05-2023,9,153315,52,Aaron Romero,South Jamesfurt,West,Ryzen 3,6,128,2028,40,High ssd lap
Laptop,Asus,24F9C872,87330,11-08-2024,17-11-2023,5,436650,53,Aaron Ross,Port Kyle,Central,Ryzen 7,12,64,2028,5,High ssd lap
Laptop,Asus,A8A012A2,171309,26-09-2023,12-06-2023,8,1370472,54,Aaron Sharp,Howardhaven,North,i3,8,1028,1028,45,Best selling lap
Laptop,Asus,9DC942F5,135852,15-01-2024,22-09-2024,1,135852,55,Aaron Short,Larsonside,North,Ryzen 7,12,128,2028,25,High ssd lap
Laptop,HP,D20C169A,95255,05-08-2023,07-01-2025,4,381020,56,Aaron Stafford,East Samanthastad,West,Ryzen 7,8,1028,1028,24,High storage lap
Laptop,HP,987249B9,86992,28-06-2023,13-03-2024,9,782928,57,Aaron Stone,East Arthur,West,i9,16,64,2028,35,High ssd lap
Laptop,HP,6E72E6E6,68809,01-04-2024,03-07-2023,5,344045,58,Aaron Taylor,New Jenniferport,North,Ryzen 3,8,256,2028,47,High ssd lap
Laptop,Google,D718D5A5,138566,31-12-2024,29-05-2024,4,554264,58,Aaron Taylor,Torresport,West,i7,8,128,512,6,Low demand lap
Laptop,Acer,DC038B1D,89103,25-05-2024,25-12-2023,7,623721,59,Aaron Thomas,North James,East,i5,12,128,512,20,Low demand lap
Laptop,Asus,D39F7319,19517,06-11-2023,29-07-2023,10,195170,60,Aaron Walter,Karenmouth,South,Ryzen 3,12,1028,512,28,High storage lap
