Product,Brand,Product Code,Price,Inward Date,Dispatch Date,Quantity Sold,Sales,Mobile customer id,Customer Name,Customer Location,Region,Processor Specification,RAM,ROM,SSD,stock in inventory,Product segmentation
Mobile Phone,Vivo,C276C354,6835,21-03-2023,27-03-2023,9,61515,7790,Holly Adams,Allenfort,East,MediaTek Dimensity,4,256,N/A,6,Mid range phone
Mobile Phone,Apple,B1BFB029,172216,21-03-2023,19-05-2023,6,1033296,21702,Willie Sanford,Anthonyland,North,Snapdragon 8 Gen,6,1028,N/A,59,High stroage phone
Mobile Phone,Vivo,C9A795AF,74086,21-03-2023,26-04-2023,4,296344,14621,Melissa Martin,Curtismouth,East,Snapdragon 7 Gen,8,128,N/A,36,Mid range phone
Mobile Phone,Redmi,D8393031,187538,21-03-2023,03-04-2023,5,937690,13529,Marcus Horn,East Rogerside,East,Snapdragon 7 Gen,32,256,N/A,13,Gaming phone
Mobile Phone,Vivo,EB59C154,94971,21-03-2023,21-04-2023,9,854739,16760,Phillip Mason,East Timothy,West,Samsung Exynos,16,1028,N/A,31,High stroage phone
Mobile Phone,Apple,C4FDBF29,109101,21-03-2023,14-04-2023,1,109101,2906,Brittany Long,Fernandezborough,South,MediaTek Dimensity,6,512,N/A,24,Mid range phone
Mobile Phone,Sony,6D9810C2,136466,21-03-2023,23-03-2023,9,1228194,11373,Kathleen Smith,Jamesbury,South,MediaTek Helio,8,1028,N/A,2,Preimum phone
Mobile Phone,Samsung,A053DF49,48716,21-03-2023,01-04-2023,2,97432,17616,Robert Perkins,Jamieland,Central,MediaTek Dimensity,32,256,N/A,11,Gaming phone
Mobile Phone,OnePlus,7EE93322,78176,21-03-2023,26-03-2023,2,156352,12495,Lance Franklin,Johnsonborough,West,MediaTek Helio,4,1028,N/A,5,High stroage phone
Mobile Phone,Huawei,1C072C11,12159,21-03-2023,21-04-2023,9,109431,11401,Kathryn Johnson,Katrinaberg,East,Snapdragon 7 Gen,12,256,N/A,31,Mid range phone
Mobile Phone,Samsung,915344B9,115155,21-03-2023,29-03-2023,6,690930,4992,Daniel Watson,Lake Diana,North,Snapdragon 7s,16,64,N/A,8,Mid range phone
Mobile Phone,Realme,2FB73305,160745,21-03-2023,20-05-2023,4,642980,8554,Jasmine Gordon,Lake Jonshire,Central,Snapdragon 7 Gen,16,1028,N/A,60,High stroage phone
Mobile Phone,Google,9D64D591,89295,21-03-2023,19-05-2023,10,892950,16764,Phillip Phillips,Lake Vanessaton,Central,Snapdragon 8 Gen,12,64,N/A,59,Preimum phone
Mobile Phone,Apple,8C81DA6D,135305,21-03-2023,28-03-2023,2,270610,14023,Mary Hale,Markmouth,South,Snapdragon 7 Gen,12,64,N/A,7,Mid range phone
Mobile Phone,Lenovo,D88E0670,59326,21-03-2023,12-04-2023,4,237304,6791,Eric Reynolds,Mezahaven,South,Snapdragon 7s,16,512,N/A,22,Mid range phone
Mobile Phone,iQOO,A18739AD,11132,21-03-2023,29-03-2023,10,111320,10899,Julie Hatfield,Nathanielville,Central,Snapdragon 8 Gen,32,64,N/A,8,Gaming phone
Mobile Phone,Motorola,803A89C6,176469,21-03-2023,24-03-2023,5,882345,4143,Christopher Petersen,New Amandastad,South,MediaTek Dimensity,6,512,N/A,3,Preimum phone
Mobile Phone,Huawei,304EF81C,151836,21-03-2023,24-03-2023,4,607344,1907,Ashley Walters,New Gregory,South,Snapdragon 7 Gen,4,1028,N/A,3,High stroage phone
Mobile Phone,Redmi,4551DCC5,177218,21-03-2023,29-03-2023,1,177218,14842,Michael Green,New Joshualand,North,MediaTek Helio,32,64,N/A,8,Gaming phone
Mobile Phone,Nokia,813EE935,85215,21-03-2023,09-04-2023,8,681720,3227,Carly Mullins,New Keithchester,East,Snapdragon 8 Gen,16,128,N/A,19,Mid range phone
Mobile Phone,Motorola,DB22AE56,109110,21-03-2023,25-04-2023,6,654660,4633,Curtis Graham,North Carlachester,North,MediaTek Helio,32,64,N/A,35,Gaming phone
Mobile Phone,Redmi,2FB83ED3,159207,21-03-2023,14-05-2023,7,1114449,17108,Rebecca Smith,North Elizabeth,Central,MediaTek Helio,4,512,N/A,54,Preimum phone
Mobile Phone,Google,1C5FCB56,189564,21-03-2023,15-05-2023,8,1516512,20470,Tiffany Johnson,North Toniview,South,MediaTek Helio,6,256,N/A,55,Preimum phone
Mobile Phone,Realme,C1A99430,35530,21-03-2023,09-04-2023,7,248710,16156,Nicole Mason,Perezmouth,West,Samsung Exynos,6,1028,N/A,19,High stroage phone
Mobile Phone,Samsung,79F19C44,38523,21-03-2023,02-05-2023,4,154092,11989,Kevin Robinson,Port Karen,North,Samsung Exynos,4,512,N/A,42,Mid range phone
Mobile Phone,Apple,6814C7D0,73250,21-03-2023,04-05-2023,10,732500,16508,Patrick Williams,Port Marymouth,Central,Snapdragon 8 Gen,4,128,N/A,44,Preimum phone
Mobile Phone,Apple,767BF00F,172741,21-03-2023,29-04-2023,5,863705,3615,Charles Petersen,Port Maryview,East,Snapdragon 8 Gen,32,64,N/A,39,Gaming phone
Mobile Phone,OnePlus,AD750529,177463,21-03-2023,05-05-2023,1,177463,21122,Valerie Williams,Robertchester,East,Apple A-Series,4,64,N/A,45,Mid range phone
Mobile Phone,OnePlus,5D369068,132418,21-03-2023,08-05-2023,10,1324180,14628,Melissa Mendoza,Ruthfort,North,Snapdragon 7s,4,512,N/A,48,Preimum phone
Mobile Phone,iQOO,A82209EB,8647,21-03-2023,13-05-2023,4,34588,8478,Janet Sandoval,Sandersland,South,Apple A-Series,6,1028,N/A,53,High stroage phone
Mobile Phone,Nokia,CFD2FCCC,175235,21-03-2023,26-04-2023,2,350470,21463,Wesley Doyle,Savannahhaven,East,Snapdragon 7s,4,1028,N/A,36,High stroage phone
Mobile Phone,Oppo,85CD78FD,113326,21-03-2023,28-04-2023,5,566630,7215,Garrett Hurst,South Darrell,South,Snapdragon 8 Gen,16,512,N/A,38,Mid range phone
Mobile Phone,Redmi,E14CF49D,33040,21-03-2023,30-03-2023,2,66080,14057,Mary Michael,Taylorburgh,North,Apple A-Series,6,1028,N/A,9,High stroage phone
Mobile Phone,Realme,0927D329,21562,21-03-2023,19-04-2023,7,150934,13485,Marc Allen,Tyroneborough,South,Snapdragon 8 Gen,4,64,N/A,29,Mid range phone
Mobile Phone,Vivo,6FA0656B,146014,21-03-2023,09-05-2023,2,292028,1961,Austin Smith,West Andrew,West,Snapdragon 7s,6,64,N/A,49,Mid range phone
Mobile Phone,Apple,C661EF35,94643,21-03-2023,21-04-2023,3,283929,13126,Lisa Pope,West Christophershire,South,Apple A-Series,32,1028,N/A,31,Gaming phone
Mobile Phone,Oppo,CDBDADF6,120716,21-03-2023,29-03-2023,5,603580,21548,William Dudley,West Raymondborough,South,Snapdragon 7 Gen,16,512,N/A,8,Mid range phone
Mobile Phone,Motorola,73199BD1,39295,21-03-2023,19-04-2023,5,196475,3680,Chelsea Jennings,Whitneyland,Central,Snapdragon 7 Gen,4,1028,N/A,29,High stroage phone
Mobile Phone,Apple,5432B55F,34780,22-03-2023,13-04-2023,7,243460,6546,Elizabeth Price,Benjaminburgh,South,MediaTek Helio,4,512,N/A,22,Mid range phone
Mobile Phone,Vivo,F5FE98ED,94021,22-03-2023,16-04-2023,10,940210,10544,Joseph Ross,Brownstad,South,MediaTek Dimensity,6,512,N/A,25,Preimum phone
Mobile Phone,iQOO,43CB4E89,101012,22-03-2023,11-04-2023,6,606072,21134,Vanessa Gardner,Christinaburgh,Central,Snapdragon 7s,12,128,N/A,20,Mid range phone
Mobile Phone,Samsung,DE6EBBD0,74410,22-03-2023,24-03-2023,7,520870,13525,Marcus Fuentes,Christopherland,East,Apple A-Series,6,1028,N/A,2,High stroage phone
Mobile Phone,Samsung,1A5A79BF,78875,22-03-2023,29-04-2023,7,552125,12013,Kevin Wilkerson,Connorport,Central,MediaTek Dimensity,12,1028,N/A,38,High stroage phone
Mobile Phone,Nokia,BAA404F3,156392,22-03-2023,28-04-2023,3,469176,14317,Matthew Thomas,Cortezstad,Central,Apple A-Series,12,128,N/A,37,Mid range phone
Mobile Phone,OnePlus,4A034EB0,148622,22-03-2023,06-05-2023,5,743110,1424,Anna Anderson,East Johnland,West,Samsung Exynos,8,256,N/A,45,Preimum phone
Mobile Phone,Google,DA09B217,183131,22-03-2023,01-05-2023,10,1831310,13650,Maria Knox,Evanstown,North,Snapdragon 7 Gen,12,1028,N/A,40,Preimum phone
Mobile Phone,Huawei,3472DD70,66374,22-03-2023,29-04-2023,2,132748,18668,Scott Schneider DDS,Foxview,East,Snapdragon 7s,8,256,N/A,38,Mid range phone
Mobile Phone,Huawei,A19494DD,185771,22-03-2023,10-04-2023,6,1114626,4657,Cynthia Boone,Garzaland,South,Samsung Exynos,12,256,N/A,19,Preimum phone
Mobile Phone,OnePlus,6942F4F5,135818,22-03-2023,13-05-2023,4,543272,19636,Steven Jones,Jeffreyton,West,Snapdragon 7s,8,256,N/A,52,Mid range phone
Mobile Phone,Nokia,496D2AAD,194580,22-03-2023,10-05-2023,1,194580,3002,Bruce Meza,Lake Brittneyburgh,South,MediaTek Dimensity,32,512,N/A,49,Gaming phone
Mobile Phone,Realme,9DE08C3C,15360,22-03-2023,23-04-2023,10,153600,13836,Mark Lee,Larryport,Central,MediaTek Helio,4,1028,N/A,32,High stroage phone
Mobile Phone,Realme,BF6ADE47,27805,22-03-2023,15-05-2023,2,55610,7046,Faith Meyers,Mccormickchester,Central,Samsung Exynos,4,256,N/A,54,Mid range phone
Mobile Phone,Vivo,BB49B9D4,63531,22-03-2023,31-03-2023,6,381186,2353,Brandi Thomas,Michaelville,West,Snapdragon 7 Gen,8,512,N/A,9,Mid range phone
Mobile Phone,Google,507F70B8,107594,22-03-2023,28-04-2023,6,645564,2465,Brandy Johnson,Morganside,East,MediaTek Dimensity,8,256,N/A,37,Mid range phone
Mobile Phone,Lenovo,A77ABDC7,38735,22-03-2023,08-05-2023,4,154940,19150,Sherry Webster,New Jasminechester,North,MediaTek Dimensity,32,1028,N/A,47,Gaming phone
Mobile Phone,Redmi,258716D8,34688,22-03-2023,03-04-2023,6,208128,2060,Benjamin Allen,New Travis,East,Snapdragon 7 Gen,32,256,N/A,12,Gaming phone
Mobile Phone,Google,A08DA7E8,33064,22-03-2023,12-04-2023,9,297576,12143,Kimberly Nelson,New Tyler,East,Apple A-Series,6,1028,N/A,21,High stroage phone
Mobile Phone,Nokia,45CEC556,193524,22-03-2023,17-04-2023,1,193524,3947,Christine Reed,Port Amy,West,Samsung Exynos,16,256,N/A,26,Mid range phone
Mobile Phone,Huawei,9AE8554D,181189,22-03-2023,12-05-2023,5,905945,1585,Anthony Nguyen,Port Andrea,North,Snapdragon 7 Gen,16,512,N/A,51,Preimum phone
Mobile Phone,iQOO,71C24241,26127,22-03-2023,09-05-2023,4,104508,17489,Robert Carter,Port Paul,West,MediaTek Helio,16,128,N/A,48,Mid range phone
Mobile Phone,Vivo,00B25B8B,64835,22-03-2023,29-04-2023,8,518680,4999,Daniel Williams,Shannonberg,East,MediaTek Dimensity,8,256,N/A,38,Mid range phone
Mobile Phone,Vivo,D9E223E8,175844,22-03-2023,20-05-2023,9,1582596,13052,Lisa Diaz,South Aliciastad,North,Snapdragon 8 Gen,16,64,N/A,59,Preimum phone
Mobile Phone,Apple,167DEA49,82953,22-03-2023,31-03-2023,1,82953,9743,Jodi Pierce,South Briana,South,Samsung Exynos,4,1028,N/A,9,High stroage phone
Mobile Phone,Google,4D5D81FE,82618,23-03-2023,15-05-2023,8,660944,18618,Scott Gray,Allisonport,North,Snapdragon 7s,32,64,N/A,53,Gaming phone
Mobile Phone,Redmi,481AD1E0,119460,23-03-2023,17-05-2023,6,716760,19679,Steven Reilly,Andreaburgh,West,Samsung Exynos,6,512,N/A,55,Preimum phone
Mobile Phone,Motorola,377295D5,6637,23-03-2023,15-04-2023,7,46459,4047,Christopher Gutierrez,Anthonyfort,East,Snapdragon 8 Gen,6,512,N/A,23,Mid range phone
Mobile Phone,Huawei,183DA639,68659,23-03-2023,01-05-2023,4,274636,20593,Timothy Lutz,Carmenborough,North,Snapdragon 7s,6,1028,N/A,39,High stroage phone
Mobile Phone,Samsung,406943A2,75880,23-03-2023,11-05-2023,10,758800,19571,Steven Allen,Colemanstad,North,Snapdragon 7 Gen,12,512,N/A,49,Preimum phone
Mobile Phone,Nokia,49E1F641,70133,23-03-2023,13-04-2023,7,490931,21022,Troy Ramos,East Bryan,South,Snapdragon 7s,16,128,N/A,21,Mid range phone
Mobile Phone,Apple,D12CD8B6,127942,23-03-2023,18-04-2023,2,255884,9776,Joel Adams,East Sarah,North,Snapdragon 8 Gen,32,512,N/A,26,Gaming phone
Mobile Phone,Lenovo,E4785512,133041,23-03-2023,29-03-2023,9,1197369,11574,Kaylee Hill,Fletchermouth,North,Snapdragon 8 Gen,8,128,N/A,6,Preimum phone
Mobile Phone,Redmi,F51BC204,122352,23-03-2023,29-03-2023,4,489408,12634,Laura Reed,Gardnershire,East,Samsung Exynos,4,128,N/A,6,Mid range phone
Mobile Phone,OnePlus,69F728E4,154428,23-03-2023,21-04-2023,6,926568,21057,Tyler Mccoy,Keithborough,Central,MediaTek Helio,4,128,N/A,29,Preimum phone
Mobile Phone,Redmi,4083FB1B,75127,23-03-2023,03-04-2023,6,450762,16835,Rachel Johnson,Lake Jason,Central,MediaTek Dimensity,8,1028,N/A,11,High stroage phone
Mobile Phone,Motorola,14DC5C79,160170,23-03-2023,26-04-2023,7,1121190,15394,Molly Thompson,Lake Lauraville,West,MediaTek Dimensity,8,64,N/A,34,Preimum phone
Mobile Phone,Vivo,57F07C7E,121386,23-03-2023,30-04-2023,7,849702,15503,Mr. Brian Mitchell,Lake Rachelview,Central,Snapdragon 7s,8,128,N/A,38,Preimum phone
Mobile Phone,Samsung,F384602E,50520,23-03-2023,06-04-2023,3,151560,3847,Christina Johnson,Mooremouth,East,Snapdragon 7 Gen,4,512,N/A,14,Mid range phone
Mobile Phone,Vivo,3A59A157,141790,23-03-2023,23-04-2023,3,425370,6556,Elizabeth Ryan,New Holly,East,Snapdragon 8 Gen,12,256,N/A,31,Mid range phone
Mobile Phone,iQOO,79ABB81B,60699,23-03-2023,03-05-2023,5,303495,8471,Janet Ingram,New Rhonda,Central,Snapdragon 7s,12,1028,N/A,41,High stroage phone
Mobile Phone,iQOO,53074DCB,52707,23-03-2023,28-03-2023,9,474363,18746,Sean Taylor,Nicoleland,Central,Snapdragon 7s,6,128,N/A,5,Mid range phone
Mobile Phone,Samsung,852B6867,26626,23-03-2023,02-05-2023,10,266260,14259,Matthew Nash,North Alexanderland,Central,MediaTek Helio,32,512,N/A,40,Gaming phone
Mobile Phone,Oppo,D0225DC2,133245,23-03-2023,20-04-2023,9,1199205,20809,Tony Smith,North Thomas,North,MediaTek Dimensity,16,1028,N/A,28,Preimum phone
Mobile Phone,Motorola,6926122,5975,23-03-2023,18-04-2023,9,53775,18507,Sarah Martinez,Port Gabrielberg,East,Snapdragon 8 Gen,8,256,N/A,26,Mid range phone
Mobile Phone,Realme,E3055112,77012,23-03-2023,04-04-2023,1,77012,96,Adam Berry,Port Josephville,South,Snapdragon 8 Gen,8,256,N/A,12,Mid range phone
Mobile Phone,Apple,C6B1FDC9,137794,23-03-2023,27-04-2023,1,137794,312,Alexander Bates,Rodriguezmouth,East,Snapdragon 8 Gen,4,256,N/A,35,Mid range phone
Mobile Phone,Lenovo,C22A3E7D,196112,23-03-2023,27-03-2023,1,196112,21539,William Collins,South Danielstad,South,MediaTek Dimensity,6,64,N/A,4,Mid range phone
Mobile Phone,Huawei,526D4935,40574,23-03-2023,10-05-2023,9,365166,7620,Harry Brennan,Steelehaven,Central,MediaTek Helio,16,128,N/A,48,Mid range phone
Mobile Phone,Sony,7DA049FD,185846,23-03-2023,20-04-2023,6,1115076,1122,Andrew Harris,Taylorfurt,North,Snapdragon 7s,8,1028,N/A,28,Preimum phone
Mobile Phone,Motorola,BD2FC567,116957,23-03-2023,03-04-2023,8,935656,4211,Christopher Williams,West Danaview,East,MediaTek Dimensity,32,512,N/A,11,Gaming phone
Mobile Phone,Apple,7ABCA79B,61656,23-03-2023,05-04-2023,6,369936,15217,Michelle Morris,Williamfurt,North,MediaTek Dimensity,8,512,N/A,13,Mid range phone
Mobile Phone,Motorola,B983E5B4,79438,23-03-2023,26-03-2023,9,714942,553,Allison Bryant,Wilsonburgh,North,Samsung Exynos,12,512,N/A,3,Preimum phone
Mobile Phone,OnePlus,4D45266B,100850,24-03-2023,26-03-2023,9,907650,13693,Mariah Horton,Brandibury,East,Apple A-Series,12,512,N/A,2,Preimum phone
Mobile Phone,Nokia,7D2EFD14,88462,24-03-2023,30-03-2023,8,707696,13860,Mark Morris,Cherylberg,East,Snapdragon 7s,12,512,N/A,6,Preimum phone
